	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.0016000564904859488	0.0	0.0	0.022212828814433226	0.003623308417337412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1532461200942553	0.0	0.0	0.0	0.0014002295725229368	0.0002104309161759461
Glycosaminoglycan metabolism	0.000194490412292281	0.0	0.0	0.005174632224859602	0.0016598396101769148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013549257759784075	0.0	0.0	0.0	0.37694974003466203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019409783062438352
Purine metabolism	0.0027347360789454537	0.0	0.0	0.002220353863090565	0.0007213493649549341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002198646762103502	0.0	0.0	0.0	0.0005872314014585066
Branched-chain amino acid metabolism	0.01019507175296126	0.0	0.006313299130758393	0.00046450917637877925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005345824760070241	0.0	0.0	0.0	1.2914532761700663e-05
Spliceosome	0.13960500488660962	0.0011014464583637038	0.012879130226747122	0.08223205949433529	0.0008170385664285479	0.0	0.0	0.0787766450417053	0.0	0.11228366399324612	0.0	0.0	0.0	0.26946448917584503	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02523232674510713	0.02543268058828309	0.0	0.17572934890538564	0.008257467847484568	0.0	0.053810299947620176
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.30084912261692176	0.7659815021785963	0.4310853558042479	0.675219828967721	0.7655356939123267	0.0	0.0	0.5614457831325302	0.0	0.0	0.0	0.0	0.4723432055749129	0.0	0.1290148448043185	0.0	0.68544703595724	0.0	0.0	0.0	0.0	0.0	0.0	0.7511360598770382	0.5539326493943082	0.4616884699764362	0.6599734411253959	0.4218008731697323	0.0	0.0	0.9088313753255699
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.0017546748464241	0.0034112444725205296	0.018408251149685	0.015542477041633956	0.0	0.0	0.0	0.0	0.139954457873533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38042131350681535	0.0	0.08631921824104234	0.0	0.08794605769044997	0.0	0.0	0.011277128942266776	0.0	0.0	0.0
Sulfur metabolism	0.006473578370961698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034674610304663745	0.0	0.0	0.0219034274030432
