	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.0016160664227974656	0.0	0.0	0.004012608621570966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.3819825637713916	0.0	0.0	0.0	0.0007246251964849091	0.0
Glycosaminoglycan metabolism	0.00039058404124842506	0.0	0.0	0.001150110751405691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.336884154460719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.008482700199905e-05
Purine metabolism	0.0016711274609802719	0.0	0.0	0.003441812915317771	0.002160408333060304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Branched-chain amino acid metabolism	0.005875728068559144	0.0	0.004570595833471333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005910717063306892	0.0017071671755650721	0.0	0.0	0.00019032234260759638
Spliceosome	0.14724874187191225	0.0058686070932055506	0.034064187063226566	0.009464985517123868	0.0	0.0	0.0	0.1036851142517501	0.09313556398758192	0.051422041645505324	0.0	0.0	0.0	0.1278159602901871	0.0	0.6571848045512938	0.0	1.0	0.0	0.0	0.0	0.0	0.03786707882534776	0.0	0.0	0.22650952534711008	0.003414815080704022	0.13828054122077085	0.013497670223959115	0.0	0.016242843295594972
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.3625902442375684	0.7500517644274853	0.5383532606895638	0.8237689555290507	0.8063595034635039	0.0	0.3184933415055441	0.7009642055210673	0.5237438197079453	0.0	0.0	0.0	0.0	0.0	0.0	0.30152321526885667	0.9158622065903366	0.0	0.0	0.0	0.0	0.0	0.0	0.3549078439777111	0.6377825337996554	0.09606070390700677	0.8720987831580461	0.6207942717224828	0.0	0.0	0.9620897927456469
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.0007440725794310925	0.002916555742893484	0.007021495048521179	0.030422559209405346	0.0	0.0	0.0	0.0	0.05956076808094745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006809848088004191	0.0	0.0	0.0	1.0	0.0	0.09486089644513138	0.0	0.07979676706512849	0.0	0.0	0.0	0.0	0.0	0.0
Sulfur metabolism	0.0068465323550692845	0.0	0.012188255555923556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003970383088314196	0.0	0.0	0.010333000658782423
