	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.008005042923673452	0.0	0.0	0.12040448214544	0.020022772805234863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24841127586768777	0.08572075642622581	0.0	0.0	0.0	0.0	0.36454642097802975	0.0	0.0	0.0	0.0022941224759660717	0.0
Glycosaminoglycan metabolism	0.0012395956595817716	0.0008442080788154937	0.0	0.011541439425523046	0.009749066747380408	0.0028093744389172293	0.0	0.0	0.008796246934641221	0.006725918808551524	0.0	0.0	0.0	0.0	0.004332185819827486	0.0	0.0	0.0	0.36668877466423483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002931818922176496	0.0	0.0	0.0	0.0019103931363781616
Purine metabolism	0.00938278169034707	0.0	0.004481434058898847	0.0038669990555843894	0.0179962814026895	0.0	0.0	0.0	0.0	0.0	0.0	0.23325542951604628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016389085754783844	0.012020457580923632	0.01884364519579537	0.03608812074001947	0.00037384877872367807	0.002248332716459497
Branched-chain amino acid metabolism	0.01893286295923671	0.0008470505302593168	0.007319864480527573	0.0012209336952175135	0.0	0.0	0.0	0.0	0.010688772790276151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016346616137334204	0.0	0.0	0.013687469447612838	0.0	0.0	0.0	0.0	0.0	0.0	0.03539899883813102	0.0033859046638625052	0.0	0.0003039601346299341	0.006416254204129301
Spliceosome	0.04308116932474377	0.02605390993408355	0.05547120211210949	0.04132456416495793	0.0058229198195471395	0.0	0.004210668022855775	0.03033049040511728	0.022043927924085726	0.22257987028585152	0.0	0.0	0.0	0.35882010479332427	0.0	0.28008731966590733	0.06272801832631014	0.9839386152055857	0.0	0.0	0.0	0.0	0.19707194949385	0.0	0.0031867431485022306	0.06854624379872432	0.01039166929082558	0.0032009264993284495	0.02872444011684518	0.002772249549051844	0.024216704330454336
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.204284880879899	0.47534315495055557	0.36718298528095356	0.26795878604306883	0.472333924273216	0.0	0.07763933347294104	0.586673773987207	0.19111845612538655	0.03680038433821763	0.0	0.0	0.7468898439267134	0.020424995148457213	0.683866475844196	0.11560364464692482	0.2174269634322238	0.0	0.05048913944619466	0.21011895062734232	0.0	0.0	0.0	0.7437122956313934	0.48794069303277315	0.17387934089298368	0.5045768950951757	0.3947273180578902	0.02805501460564752	0.0	0.722050442654872
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.0035244953829645233	0.002512727076339718	0.015971128460222313	0.0245845847549199	0.0	0.0	0.0	0.05724946695095951	0.131917048725877	0.0	0.0	0.0	0.0	0.0	0.0294356554365064	0.0	0.10679035040583729	0.0	0.0	0.011243278474824831	0.34197712603329183	0.11127640583159774	0.025851747033852183	0.0	0.07165140384421857	0.0	0.003919950484835981	0.013310385317559256	0.10513023369036027	0.0	0.0005011620983519124
Sulfur metabolism	0.008355811826934316	0.0018845453072547887	0.003937543199664601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00339394719275529	0.0	0.0005380316251661242	0.0
