	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.0069247021482338605	0.0	0.0	0.08520827069194827	0.015853136941918422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14023624026137219	0.12675491375852388	0.0	0.0	0.0	0.0	0.30003191101385845	0.0	0.0	0.0	0.027375025739791902	0.0
Glycosaminoglycan metabolism	0.0009816811940512214	0.00037683625032504874	0.0	0.006404639674455411	0.008171172505947372	0.0004187429337129936	0.0	0.0	0.0033307427556345057	0.03444953023367863	0.0	0.0	0.0	0.0	0.0089805338149709	0.0	0.0	0.0	0.3793624414564133	0.0	0.0	0.0	0.0	0.009696232423342516	0.0	0.0	0.0	0.0	0.0	0.0	0.004819051385867586
Purine metabolism	0.009893046728801537	0.0	0.002425019207171648	0.0038959098480558264	0.030579697585548515	0.0	0.0	0.0	0.008970800488508936	0.0	0.0	0.21963014135402273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005288110867979577	0.01810230616814979	0.003446945657719541	0.0	0.0008176169192194483	0.0036220947781466953
Branched-chain amino acid metabolism	0.017213106034907933	0.00015426045334943514	0.01104730972155973	0.010156666488350084	0.0	0.0	0.0	0.0	0.00588431220162096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009442667322834643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011149801273258066	0.0014434862682146813	0.0	0.00330680620662088	0.011331189219757763
Spliceosome	0.04591833202673265	0.023676775868376163	0.0584808310606364	0.03864919656082654	0.007416394340841047	0.0	0.00442969503815678	0.018584558616732857	0.03468413456200732	0.22785674134746647	0.0	0.0	0.0	0.183316659520747	0.0	0.45468663338879645	0.0	0.9667701808867133	0.0	0.0	0.0	0.0	0.09295144804088587	0.0	0.08335123523093449	0.05682439824945295	0.0	0.02106743320765048	0.08584046370411264	0.00014535411897234637	0.025937529273395293
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.3179059055029697	0.6786776793938887	0.5552529338727119	0.39838629643225415	0.5252892617430903	0.0	0.23403555451594985	0.826067880887829	0.33767070056622617	0.027101903155866056	0.0	0.0	0.4083100279664403	0.04587680434471916	0.508930363234999	0.1646699944536883	0.8544076033464566	0.0	0.04978093367578183	0.5810505152048253	0.0	0.017752306402012863	0.0	0.8049840781423308	0.6445972073039743	0.20591721371261854	0.3007984242552144	0.765850350294297	0.0	0.0	0.5560817538710271
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.00410882714424483	0.005432171678662253	0.012063196146185689	0.02297147980011326	0.0	0.0	0.0	0.020384515867748147	0.14137892750083267	0.0	0.0	0.0	0.0	0.0	0.01931567328918322	0.0	0.03384904035433071	0.0	0.0	0.018471977883890423	0.23746490172482954	0.08358960022365113	0.06745102214650767	0.0	0.018711063372717513	0.0	0.01904024949292439	0.017178730976468687	0.025393320452663543	0.0035490630715747902	0.0037469945980827873
Sulfur metabolism	0.011705712442378573	0.001976737523634905	0.015351172638792293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
