	('Emi219', 'Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374', 'Emi379')	('Emi219', 'Emi370', 'Emi374', 'Emihu1')	('Emi219', 'Emi370', 'Emi379', 'Emihu1')	('Emi219', 'Emi374', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370', 'Emi374')	('Emi219', 'Emi370', 'Emi379')	('Emi219', 'Emi370', 'Emihu1')	('Emi219', 'Emi374', 'Emi379')	('Emi219', 'Emi374', 'Emihu1')	('Emi219', 'Emi379', 'Emihu1')	('Emi370', 'Emi374', 'Emi379')	('Emi370', 'Emi374', 'Emihu1')	('Emi370', 'Emi379', 'Emihu1')	('Emi374', 'Emi379', 'Emihu1')	('Emi219', 'Emi370')	('Emi219', 'Emi374')	('Emi219', 'Emi379')	('Emi219', 'Emihu1')	('Emi370', 'Emi374')	('Emi370', 'Emi379')	('Emi370', 'Emihu1')	('Emi374', 'Emi379')	('Emi374', 'Emihu1')	('Emi379', 'Emihu1')	('Emi219',)	('Emi370',)	('Emi374',)	('Emi379',)	('Emihu1',)
Sterol biosynthesis	0.010872595483691109	0.0	0.0	0.010638297872340425	0.028985507246376812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.125	0.0	0.0	0.0	0.0	0.11764705882352941	0.0	0.0	0.0	0.028169014084507043	0.009280742459396751
Glycosaminoglycan metabolism	0.0033454139949818796	0.008130081300813009	0.0	0.0425531914893617	0.057971014492753624	0.08333333333333333	0.0	0.0	0.011111111111111112	0.08333333333333333	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.006711409395973154	0.005555555555555556	0.0	0.014084507042253521	0.013921113689095127
Arginine and proline metabolism	0.010872595483691109	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005555555555555556	0.0	0.0	0.009280742459396751
Purine metabolism	0.025090604962364097	0.0	0.0196078431372549	0.010638297872340425	0.028985507246376812	0.0	0.0	0.0	0.011111111111111112	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.11764705882352941	0.020134228187919462	0.011111111111111112	0.015873015873015872	0.014084507042253521	0.02320185614849188
Branched-chain amino acid metabolism	0.028436018957345974	0.016260162601626018	0.0196078431372549	0.02127659574468085	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.040268456375838924	0.022222222222222223	0.0	0.028169014084507043	0.018561484918793503
Spliceosome	0.07666573738500139	0.06504065040650407	0.058823529411764705	0.047872340425531915	0.057971014492753624	0.0	0.11764705882352941	0.046511627906976744	0.011111111111111112	0.16666666666666666	0.0	0.0	0.0	0.3333333333333333	0.1111111111111111	0.25	0.02666666666666667	0.25	0.0	0.0	0.0	0.0	0.10526315789473684	0.0	0.08333333333333333	0.058823529411764705	0.013422818791946308	0.044444444444444446	0.047619047619047616	0.07042253521126761	0.08816705336426914
Phosphate and amino acid transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribosome	0.09952606635071092	0.22764227642276422	0.13725490196078433	0.09574468085106383	0.2463768115942029	0.0	0.058823529411764705	0.09302325581395349	0.03333333333333333	0.08333333333333333	0.0	0.0	0.25	0.16666666666666666	0.1111111111111111	0.25	0.02666666666666667	0.0	0.2	0.07142857142857142	0.0	0.1111111111111111	0.0	0.14285714285714285	0.16666666666666666	0.17647058823529413	0.28187919463087246	0.12777777777777777	0.015873015873015872	0.028169014084507043	0.10440835266821345
Mineral and organic ion transport system	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Repair system	0.009199888486200168	0.06504065040650407	0.0784313725490196	0.0797872340425532	0.0	0.0	0.11764705882352941	0.13953488372093023	0.18888888888888888	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.29333333333333333	0.0	0.1	0.14285714285714285	0.125	0.1111111111111111	0.10526315789473684	0.0	0.08333333333333333	0.0	0.026845637583892617	0.06666666666666667	0.015873015873015872	0.04225352112676056	0.04176334106728538
